Date,Publish,Best,Headline,URL,Image,Video,Skills,Case_study,Related_Links,Awards
6/6/2026,TRUE,FALSE,What was this unprecedented school year like? We asked the students.,https://www.startribune.com/preview/WL5IQETIVVGRHATLORT4GEUN5Y,students,kids_vid_1,"Design, Development, Editing","This Minnesota school year began with a school shooting in Minneapolis and ended after Operation Metro Surge. Our education reporters wanted to talk to students about how this unprecedented year, allowing them to reflect and process what happened. They decided on a video-driven story form, which happened to align with development work I was doing for a yet-unpublished piece. I helped develop the story outline and created a visual identity that used a color palette inspired by number two pencils.",,
4/19/2026,TRUE,FALSE,"Our neighbor, Prince",https://www.startribune.com/we-asked-for-your-prince-stories-heres-what-you-shared/601630503?utm_source=gift,princestories,prince_vid_1,"Design, Development, Editing, Writing, Illustration","As a transplant to Minneapolis, I've always been fascinated by the relationship between Prince and the city's residents. For the tenth anniversary of his death, I wanted to gather stories from readers of Prince the neighbor, not just Prince the rock star. I got to hear some incredible tales and even interview his high school music teacher. I created some lightweight, vector illustrations with SVG animations to accompany each story.",,
3/12/2026,TRUE,FALSE,"Resilience, enlightenment and bed bugs on the Camino de Santiago",https://www.startribune.com/resilience-enlightenment-and-bed-bugs-on-the-camino-de-santiago/601528801?utm_source=gift,camino,camino_vid_1,"Writing, Reporting, Design","For our thirtieth birthdays, my best friend and I decided to walk 186 miles through Portugal and Spain on the Camino de Santiago. I was so excited to write a travel story for the Strib about our experience, which was somehow both magical and mundane, transformative and reaffirming. And yes, we did get bed bugs. My colleague Jake Steinberg drew a map of our route that we placed my camino passport stamps along. It quickly became my favorite piece of the story.",,
3/8/2026,TRUE,TRUE,Exclusive! Greatest Minnesota celebrities (of all time) revealed,https://www.startribune.com/the-greatest-minnesota-celebrities-of-all-time/601512669?utm_source=gift,celebsalt,celebs_vid_1,"Design, Development, Illustration","A joint project I worked on with Bryan Brussee, another designer at the Strib. Often, lists at the Star Tribune are unordered — we wanted to lean into the divisiveness by giving readers a chance to vote if they agreed with our critics selection. For the visual identity, we wanted a punchy, tabloid-style look. Lots of Teen Bop and J-14 covers in our moodboard, and I think we did them justice while using brand typography and keeping it readable. ",,
2/13/2026,TRUE,FALSE,‘The periodic table for romance’,https://www.startribune.com/can-you-tell-your-fake-dates-from-your-golden-retrievers/601562823?utm_source=gift,periodic,tropes_vid_1,"Design, Development, Illustration","After a lot of heavy work, it was a treat to work on this project from with our Books  editor. I live in the neighborhood of the romance bookstore and am a patron, so it was a natural fit. Visualizing the tropes as atomic illustrations and organizing the tropes into elemental groups was a fun, conceptual challenge.",,
2/7/2026,TRUE,FALSE,A state on edge: What the last 31 days have looked like in Minnesota,https://www.startribune.com/a-state-on-edge-what-the-last-31-days-have-looked-like-in-minnesota/601573087?utm_source=gift,stateedge,stateedge_vid_1,"Design, Development, Editing","A visual retrospective of what the month of January looked like in Minnesota, highlighting our photojournalism. I used the backend system I created for our <a href=""https://www.startribune.com/2025-the-year-in-photos/601533059"" target=""_blank"">2025 year in photos</a> story and updated the design. I used desaturation and blur on the inactive photo to give each day its own emphasis and moment of coming into focus. I also used a heavy cut of our news font for a graphic, type-only here and as an anchor and throughline in the presentation.",,
1/28/2026,TRUE,TRUE,"A chaotic confrontation, a gun and 10 shots: The fatal shooting of Alex Pretti",https://www.startribune.com/a-chaotic-confrontation-a-gun-and-10-shots-a-frame-by-frame-analysis-of-the-fatal-shooting-of-alex-pretti/601570463?utm_source=gift,prettialt,pretti_vid_1,"Design, Development, Reporting, Writing, Graphics, Editing","Less than three weeks after Renee Good's death, we were faced with another death of a civilian during Operation Metro Surge. Our visual forensics team reassembled, gathering as many videos as we could from the shooting and assembling another comprehnesive timeline. In this instance, there was a lot less movement, so we decided against mapping and instead created highlighted video frames to show how the confrontation escalated. Being a local journalist in January meant I drove to work each morning, as early as 6 a.m., and each time saw observers with whistles and orange safety vests on each corner. I was coding on deadline on my couch, hearing the whistles from down the street when ICE agents would drive through our neighborhood. I was in the story, no matter where I was. ",,
1/10/2026,TRUE,TRUE,A close examination of the shooting of Renee Good,https://www.startribune.com/breaking-down-the-videos-a-close-examination-of-the-shooting-of-renee-good/601560158,goodalt,good_vid_1,"Design, Development, Reporting, Writing","Within an hour of Renee Good's death, we knew there was a need for a visual analysis. Myself, our videographer, Amanda Anderson, and a cartographer, Jake Steinberg, worked tirelessly for three days to piece together video from eyewitnesses and organize it into a cohesive timeline. We were ready to publish the day after, when minutes before our scheduled publish time Jonathon Ross's first-person video was released. We quickly pivoted, using his video in the timeline to add a greater level of detail and updating the maps and graphics based on what we learned through this angle. It was the hardest piece I have worked on for so many reasons, but I'm thankful to have worked on it.",,
12/14/2025,TRUE,FALSE,2025: The year in photos,https://www.startribune.com/2025-the-year-in-photos/601533059,2025poy,poy_vid_1,"Design, Development, Editing","We do a photos of the year project each year, and in this instance I wanted to try and do as much as I could to streamline the process for the years to come. I created a Airtable database for ease of editing for our photo and copy desks. I set up clear options in there for selecting gallerys vs. single images, adding behind-the-lens quotes from our photographers, and more. I also went through to find the original publication story with each photo throughout the year and included that link so readers could go read the full context if they wished. ",,
12/4/2025,TRUE,TRUE,Holiday cookie finder,startribune.com/cookies,cookiefinder,cookies_vid_1,"Design, Development, Editing","I worked with newsroom developer Tom Nehil to redesign the Star Tribune's Holiday Cookie Finder, a database of over 100 different holiday cookie recipes submitted by readers since 2003. We brought in a warm and nostagic color scheme, as well as a recipe page design directly inspired by cookbooks for ease of use and familiarity. We focused on the print styles, so the recipes could be printed out to a single page and put right into a recipe box. Each year we continue to update this project as new winning cookies are released.",,
9/11/2025,TRUE,FALSE,Your guide to Twin Cities trail running,https://www.startribune.com/rocks-roots-and-soft-dirt-lace-up-your-shoes-for-an-adventurous-run-on-these-twin-cities-area-trails/601453067,trailrunning,trailrunning_vid_1,"Design, Development, Reporting, Writing","Fresh off the success of our paddling guide, we wanted to create something similar for trail running around the Twin Cities metro area. I worked with the same developer and cartographer as the paddlign guide, creating a new project that had a shared visual identity while also maintaining it's own unique presence. I also contributed to this guide, running the Winchell Trail with my dog, Derby. We did get caught in a summer rainstorm during, but would still do again in a heartbeat.",,
